album,song,word_count,tb_polarity,tb_subjectivity,tb_sentiment,vader_compound,vader_positive,vader_negative,vader_neutral,vader_sentiment
THETORTUREDPOETSDEPARTMENT_TheBlackDogEdition_,Butdaddyilovehim,601,0.15790143964562564,0.4455869324473975,positive,0.993,0.152,0.091,0.757,positive
SpeakNow,Mean,421,-0.1538919413919414,0.47532051282051285,negative,-0.9851,0.029,0.086,0.885,negative
SpeakNow,Nevergrowup,453,0.06263175230566535,0.4804253717297195,neutral,0.9971,0.163,0.016,0.82,positive
SpeakNow,Innocent,334,0.2577847439916406,0.6022291884360851,positive,0.9793,0.143,0.069,0.788,positive
SpeakNow,Speaknow,451,0.01792534722222222,0.4185763888888889,neutral,0.8886,0.102,0.086,0.811,positive
SpeakNow,Sparksfly,364,0.2167310167310167,0.4964607464607465,positive,0.7896,0.124,0.106,0.77,positive
SpeakNow,Dearjohn,391,-0.06820276497695851,0.5362519201228878,neutral,-0.9682,0.096,0.149,0.755,negative
SpeakNow,Mine,427,0.12012648809523807,0.5138764880952382,positive,0.9957,0.18,0.08,0.741,positive
SpeakNow,Haunted,338,-0.12038352272727273,0.4513020833333333,negative,-0.9949,0.054,0.168,0.778,negative
SpeakNow,Enchanted,407,0.2865740740740741,0.5087962962962962,positive,0.9858,0.149,0.067,0.784,positive
SpeakNow,Lastkiss,424,0.225,0.4119047619047619,positive,0.9979,0.189,0.026,0.784,positive
SpeakNow,Thestoryofus,470,0.14299516908212562,0.4073153899240856,positive,-0.9814,0.127,0.16,0.713,negative
SpeakNow,Betterthanrevenge,531,0.2681027966742252,0.46982237339380195,positive,0.9586,0.115,0.087,0.798,positive
SpeakNow,Backtodecember,442,0.11303571428571427,0.4017857142857144,positive,0.9964,0.163,0.054,0.783,positive
SpeakNow,Longlive,455,0.058704808704808695,0.5259652509652508,neutral,-0.9651,0.043,0.078,0.879,negative
Lover,Thearcher,310,0.20218253968253963,0.53343253968254,positive,0.9255,0.153,0.137,0.71,positive
Lover,Paperrings,507,-0.08916666666666666,0.5398611111111112,neutral,0.9963,0.209,0.079,0.712,positive
Lover,Lover,271,0.3085714285714286,0.5985714285714286,positive,0.9955,0.199,0.033,0.767,positive
Lover,Me,516,0.20344827586206896,0.6379310344827585,positive,0.9986,0.229,0.071,0.7,positive
